metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
ndcg10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron,0.16150279375427737,0.0,0.15640901131458762,0.16659657619396712,4792,682,9503,7556985.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk1000,0.18259412557297935,0.0,0.17724776921859145,0.18794048192736726,5354,711,8912,7635981.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk500,0.1811438050497012,0.0,0.1758240244217883,0.18646358567761412,5297,698,8982,7507568.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_513,bge_m3_hybrid_513_tk1000,2.3783614015358363e-05,0.0,-2.283518061639622e-05,7.040240864711294e-05,1,0,14976,0.0,0.31731050786291415,1.0,False
ndcg10,bge_m3_hybrid_513,bge_m3_hybrid_513_tk500,2.3783614015358363e-05,0.0,-2.283518061639622e-05,7.040240864711294e-05,1,0,14976,0.0,0.31731050786291415,1.0,False
ndcg10,bge_m3_hybrid_513,bge_m3_hybrid_514,-0.03615480516478578,0.0,-0.03946420558370558,-0.03284540474586598,1363,2630,10984,17397408.5,4.162395709497835e-95,9.157270560895237e-94,True
ndcg10,bge_m3_hybrid_513,reranked_results,0.08725488500231038,0.0,0.08264161798553962,0.09186815201908113,3434,1189,10354,14467409.5,1.8519365931068185e-256,6.481778075873865e-255,True
ndcg10,bge_m3_hybrid_513,nemotron_topk400,0.13247462390790837,0.0,0.12767833810974138,0.13727090970607536,4112,684,10181,7996292.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron,0.11895250048414367,0.0,0.11439441852396945,0.1235105824443179,3748,633,10596,7575546.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14004383230284567,0.0,0.13510505978971643,0.1449826048159749,4385,774,9818,8891215.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk500,0.13859351177956752,0.0,0.13368374532933516,0.14350327822979989,4334,770,9873,8852232.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_513_tk500,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
ndcg10,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_514,-0.03617858877880113,0.0,-0.039488250881750474,-0.03286892667585179,1363,2631,10983,17396660.0,3.1577495959245484e-95,7.578599030218916e-94,True
ndcg10,bge_m3_hybrid_513_tk1000,reranked_results,0.08723110138829501,0.0,0.08261748342835351,0.09184471934823651,3434,1190,10353,14478520.0,3.218791422531079e-256,1.094389083660567e-254,True
ndcg10,bge_m3_hybrid_513_tk1000,nemotron_topk400,0.132450840293893,0.0,0.12765496206809365,0.13724671851969236,4112,684,10181,7996696.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron,0.1189287168701283,0.0,0.11437023728978202,0.1234871964504746,3748,634,10595,7586966.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14002004868883033,0.0,0.13508166263618157,0.1449584347414791,4385,774,9818,8891706.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk500,0.13856972816555216,0.0,0.13366035226166778,0.14347910406943654,4334,770,9873,8852717.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_513_tk500,bge_m3_hybrid_514,-0.03617858877880113,0.0,-0.039488250881750474,-0.03286892667585179,1363,2631,10983,17396660.0,3.1577495959245484e-95,7.578599030218916e-94,True
ndcg10,bge_m3_hybrid_513_tk500,reranked_results,0.08723110138829501,0.0,0.08261748342835351,0.09184471934823651,3434,1190,10353,14478520.0,3.218791422531079e-256,1.094389083660567e-254,True
ndcg10,bge_m3_hybrid_513_tk500,nemotron_topk400,0.132450840293893,0.0,0.12765496206809365,0.13724671851969236,4112,684,10181,7996696.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron,0.1189287168701283,0.0,0.11437023728978202,0.1234871964504746,3748,634,10595,7586966.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14002004868883033,0.0,0.13508166263618157,0.1449584347414791,4385,774,9818,8891706.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron_tk500,0.13856972816555216,0.0,0.13366035226166778,0.14347910406943654,4334,770,9873,8852717.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_514,reranked_results,0.12340969016709616,0.0,0.11841968255710308,0.12839969777708923,4225,1124,9628,12897436.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_514,nemotron_topk400,0.16862942907269413,0.0,0.1634373395908104,0.17382151855457786,4993,707,9277,7725787.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron,0.15510730564892944,0.0,0.1501029284533317,0.16011168284452718,4626,663,9688,7419033.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron_tk1000,0.17619863746763145,0.0,0.17090981518646506,0.18148745974879785,5213,733,9031,7917140.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron_tk500,0.1747483169443533,0.0,0.1694884989462141,0.18000813494249251,5166,718,9093,7771871.0,0.0,0.0,True
ndcg10,reranked_results,nemotron_topk400,0.045219738905598,0.0,0.041312221615823944,0.04912725619537206,2598,1300,11079,16685871.5,6.008157141245695e-101,1.5020392853114236e-99,True
ndcg10,reranked_results,rer_bge_m3_hybrid_513_nemotron,0.031697615481833294,0.0,0.02825394998250232,0.03514128098116427,2230,1204,11543,15833268.0,6.9630131129344575e-71,1.1140820980695132e-69,True
ndcg10,reranked_results,rer_bge_m3_hybrid_513_nemotron_tk1000,0.05278894730053531,0.0,0.04883127880734539,0.056746615793725225,2731,1174,11072,15053553.5,2.1154593658653652e-142,6.557924034182632e-141,True
ndcg10,reranked_results,rer_bge_m3_hybrid_513_nemotron_tk500,0.05133862677725715,0.0,0.04745812681759946,0.05521912673691485,2667,1143,11167,14706558.5,5.722954430036939e-140,1.7168863290110817e-138,True
ndcg10,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron,-0.01352212342376471,0.0,-0.01562762581963672,-0.0114166210278927,662,588,13727,8577978.0,0.12214087359004014,0.9771269887203211,False
ndcg10,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron_tk1000,0.007569208394937304,0.0,0.00604369509667784,0.009094721693196767,457,471,14049,6707254.5,0.902772232241607,1.0,False
ndcg10,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron_tk500,0.006118887871659151,0.0,0.0047824612677497364,0.007455314475568566,547,414,14016,5963579.0,8.21671920589357e-06,9.860063047072284e-05,True
ndcg10,rer_bge_m3_hybrid_513_nemotron,rer_bge_m3_hybrid_513_nemotron_tk1000,0.021091331818702014,0.0,0.018537182197391547,0.02364548144001248,993,858,13126,11779940.0,5.116498311520579e-05,0.0005628148142672637,True
ndcg10,rer_bge_m3_hybrid_513_nemotron,rer_bge_m3_hybrid_513_nemotron_tk500,0.019641011295423862,0.0,0.017256091617686892,0.022025930973160832,820,744,13413,10329487.5,0.006018782667367179,0.05416904400630461,False
ndcg10,rer_bge_m3_hybrid_513_nemotron_tk1000,rer_bge_m3_hybrid_513_nemotron_tk500,-0.0014503205232781527,0.0,-0.002503911038462832,-0.0003967300080934737,453,312,14212,4573372.5,5.746931546318328e-07,7.471011010213827e-06,True
