metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
recall1,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk500,0.20017359951926286,0.0,0.19294329554652742,0.2074039034919983,3325,327,11325,4300540.5,0.0,0.0,True
recall1,bge_m3_hybrid_424,bge_m3_hybrid_513,0.06289644120985512,0.0,0.057208432159325626,0.06858445026038461,1445,503,13029,7043760.5,4.5247394041327816e-101,1.3574218212398345e-99,True
recall1,bge_m3_hybrid_424,bge_m3_hybrid_513_tk1000,0.06289644120985512,0.0,0.057208432159325626,0.06858445026038461,1445,503,13029,7043760.5,4.5247394041327816e-101,1.3574218212398345e-99,True
recall1,bge_m3_hybrid_424,bge_m3_hybrid_513_tk500,0.06289644120985512,0.0,0.057208432159325626,0.06858445026038461,1445,503,13029,7043760.5,4.5247394041327816e-101,1.3574218212398345e-99,True
recall1,bge_m3_hybrid_424,bge_m3_hybrid_514,0.008346130733791814,0.0,0.0049232861798714275,0.0117689752877122,405,280,14292,4097800.0,1.7881239299526806e-06,1.6093115369574127e-05,True
recall1,bge_m3_hybrid_424,reranked_results,0.16258262669426454,0.0,0.15537458922737968,0.1697906641611494,2932,497,11548,6591711.0,0.0,0.0,True
recall1,bge_m3_hybrid_424,nemotron_topk400,0.20104159711557723,0.0,0.19381391837733097,0.2082692758538235,3333,322,11322,4234300.0,0.0,0.0,True
recall1,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron,0.19516592107898778,0.0,0.18803023089394394,0.20230161126403162,3233,310,11434,4093860.0,0.0,0.0,True
recall1,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk1000,0.21232556586766374,0.0,0.20497202146930465,0.21967911026602283,3506,326,11145,4258049.0,0.0,0.0,True
recall1,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk500,0.21192495159244173,0.0,0.20458242722902148,0.219267475955862,3497,323,11157,4220802.5,0.0,0.0,True
recall1,bge_m3_hybrid_513,bge_m3_hybrid_513_tk1000,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
recall1,bge_m3_hybrid_513,bge_m3_hybrid_513_tk500,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
recall1,bge_m3_hybrid_513,bge_m3_hybrid_514,-0.0545503104760633,0.0,-0.05988024345466592,-0.04922037749746067,443,1260,13274,6257818.0,3.1160116347084975e-87,8.101630250242094e-86,True
recall1,bge_m3_hybrid_513,reranked_results,0.09968618548440943,0.0,0.09308982886632242,0.10628254210249644,2091,598,12288,8152534.0,2.7399969734700208e-182,9.589989407145072e-181,True
recall1,bge_m3_hybrid_513,nemotron_topk400,0.1381451559057221,0.0,0.1317881416363605,0.1445021701750837,2357,288,12332,3932640.0,0.0,0.0,True
recall1,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron,0.13226947986913268,0.0,0.126032433712978,0.13850652602528735,2257,276,12444,3784236.0,0.0,0.0,True
recall1,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14942912465780864,0.0,0.14271257974783041,0.15614566956778686,2603,365,12009,4925127.5,0.0,0.0,True
recall1,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk500,0.14902851038258663,0.0,0.14233010926537895,0.1557269114997943,2592,360,12025,4860540.0,0.0,0.0,True
recall1,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_513_tk500,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
recall1,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_514,-0.0545503104760633,0.0,-0.05988024345466592,-0.04922037749746067,443,1260,13274,6257818.0,3.1160116347084975e-87,8.101630250242094e-86,True
recall1,bge_m3_hybrid_513_tk1000,reranked_results,0.09968618548440943,0.0,0.09308982886632242,0.10628254210249644,2091,598,12288,8152534.0,2.7399969734700208e-182,9.589989407145072e-181,True
