metric,metric_label,system,queries,mean,median,std_dev,ci_low,ci_high,min,max
recall1,Recall@1,bge_m3_hybrid_315,14977,0.4990986178807505,0.0,0.5000158805798979,0.49109005527211974,0.5071071804893813,0.0,1.0
recall1,Recall@1,bge_m3_hybrid_414,14977,0.4468852240101489,0.0,0.49718741493281954,0.43892196385110177,0.45484848416919604,0.0,1.0
recall1,Recall@1,bge_m3_hybrid_424,14977,0.43513387193697,0.0,0.49579108286556495,0.42719297629316605,0.44307476758077396,0.0,1.0
recall1,Recall@1,bge_m3_hybrid_513,14977,0.4980303131468251,0.0,0.5000128132865296,0.49002179966585596,0.5060388266277943,0.0,1.0
recall1,Recall@1,bge_m3_hybrid_513_tk1000,14977,0.4980303131468251,0.0,0.5000128132865296,0.49002179966585596,0.5060388266277943,0.0,1.0
recall1,Recall@1,bge_m3_hybrid_513_tk500,14977,0.4980303131468251,0.0,0.5000128132865296,0.49002179966585596,0.5060388266277943,0.0,1.0
recall1,Recall@1,bge_m3_hybrid_514,14977,0.4434800026707618,0.0,0.49681180538443087,0.43552275850580907,0.45143724683571457,0.0,1.0
recall1,Recall@1,reranked_results,14977,0.5977164986312345,1.0,0.49037489911655646,0.5898623519254913,0.6055706453369778,0.0,1.0
recall1,Recall@1,nemotron_topk400,14977,0.6361754690525473,1.0,0.4811150556495382,0.6284696337085666,0.643881304396528,0.0,1.0
recall1,Recall@1,rer_bge_m3_hybrid_513_nemotron,14977,0.6302997930159578,1.0,0.4827396023044966,0.6225679379312006,0.6380316481007151,0.0,1.0
recall1,Recall@1,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.6474594378046338,1.0,0.477777098275178,0.6398070652438481,0.6551118103654194,0.0,1.0
recall1,Recall@1,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.6470588235294118,1.0,0.4779005667861673,0.6394044734208344,0.6547131736379892,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_315,14977,0.6489283568137811,1.0,0.4773212303045996,0.6412832857154598,0.6565734279121025,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_414,14977,0.6282299525939774,1.0,0.48329356987484967,0.6204892248230862,0.6359706803648686,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_424,14977,0.619549976630834,1.0,0.48551368891470387,0.6117736900646729,0.6273262631969951,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_513,14977,0.6502637377311878,1.0,0.47690250031575915,0.6426253732705194,0.6579021021918563,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_513_tk1000,14977,0.6502637377311878,1.0,0.47690250031575915,0.6426253732705194,0.6579021021918563,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_513_tk500,14977,0.6502637377311878,1.0,0.47690250031575915,0.6426253732705194,0.6579021021918563,0.0,1.0
recall5,Recall@5,bge_m3_hybrid_514,14977,0.625358883621553,1.0,0.4840462729302257,0.6176061000944773,0.6331116671486288,0.0,1.0
recall5,Recall@5,reranked_results,14977,0.731721973692996,1.0,0.44307791061584,0.7246253647141913,0.7388185826718007,0.0,1.0
recall5,Recall@5,nemotron_topk400,14977,0.7801963009948588,1.0,0.41412737641846836,0.7735633816200804,0.7868292203696372,0.0,1.0
recall5,Recall@5,rer_bge_m3_hybrid_513_nemotron,14977,0.7655071109033852,1.0,0.4236955986349912,0.7587209409826732,0.7722932808240972,0.0,1.0
recall5,Recall@5,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.7848033651599119,1.0,0.41097240828708964,0.778220977699798,0.7913857526200258,0.0,1.0
recall5,Recall@5,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.7835347532883755,1.0,0.4118487210143178,0.776938330263366,0.790131176313385,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_315,14977,0.696801762702811,1.0,0.45965549422688406,0.6894396369246301,0.704163888480992,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_414,14977,0.680843960739801,1.0,0.46616517613759256,0.673377571882848,0.6883103495967541,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_424,14977,0.6754356680243039,1.0,0.46822747103070955,0.6679362481809153,0.6829350878676924,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_513,14977,0.698003605528477,1.0,0.45913902871569384,0.6906497517803298,0.7053574592766241,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_513_tk1000,14977,0.6980703745743473,1.0,0.4591102268980596,0.690716982133868,0.7054237670148266,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_513_tk500,14977,0.6980703745743473,1.0,0.4591102268980596,0.690716982133868,0.7054237670148266,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_514,14977,0.6793750417306537,1.0,0.4667324065410624,0.6718995677618549,0.6868505156994524,0.0,1.0
recall10,Recall@10,reranked_results,14977,0.7675769513253655,1.0,0.42239139158431616,0.760811670388835,0.774342232261896,0.0,1.0
recall10,Recall@10,nemotron_topk400,14977,0.8188555785537824,1.0,0.38515065184134056,0.8126867682642991,0.8250243888432658,0.0,1.0
recall10,Recall@10,rer_bge_m3_hybrid_513_nemotron,14977,0.794818722040462,1.0,0.4038475091984431,0.7883504513567301,0.8012869927241939,0.0,1.0
recall10,Recall@10,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.8247312545903719,1.0,0.38020950063920966,0.8186415848248157,0.830820924355928,0.0,1.0
recall10,Recall@10,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.8219269546638178,1.0,0.38258699537971846,0.8157992054767461,0.8280547038508895,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_315,14977,0.8365493757094211,1.0,0.36978865308781655,0.8306266126628147,0.8424721387560276,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_414,14977,0.8326767710489417,1.0,0.3732766658937994,0.8266981418388365,0.8386554002590468,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_424,14977,0.8276690926086666,1.0,0.37768040702684197,0.82161993036562,0.8337182548517132,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_513,14977,0.8391533684983642,1.0,0.3674016948647086,0.8332688364462448,0.8450379005504836,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_513_tk1000,14977,0.8408225946451225,1.0,0.3658536537229598,0.8349628569743138,0.8466823323159313,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_513_tk500,14977,0.8408225946451225,1.0,0.3658536537229598,0.8349628569743138,0.8466823323159313,0.0,1.0
recall100,Recall@100,bge_m3_hybrid_514,14977,0.8326767710489417,1.0,0.3732766658937994,0.8266981418388365,0.8386554002590468,0.0,1.0
recall100,Recall@100,reranked_results,14977,0.8391533684983642,1.0,0.3674016948647086,0.8332688364462448,0.8450379005504836,0.0,1.0
recall100,Recall@100,nemotron_topk400,14977,0.8929024504239834,1.0,0.30924755430737055,0.8879493509396946,0.8978555499082722,0.0,1.0
recall100,Recall@100,rer_bge_m3_hybrid_513_nemotron,14977,0.8391533684983642,1.0,0.3674016948647086,0.8332688364462448,0.8450379005504836,0.0,1.0
recall100,Recall@100,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.9109300928089737,1.0,0.28485413212675753,0.9063676934131414,0.9154924922048061,0.0,1.0
recall100,Recall@100,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.8985778193229619,1.0,0.30189701455176904,0.893742450615087,0.9034131880308368,0.0,1.0
precision1,Precision@1,bge_m3_hybrid_315,14977,0.4990986178807505,0.0,0.5000158805798979,0.49109005527211974,0.5071071804893813,0.0,1.0
precision1,Precision@1,bge_m3_hybrid_414,14977,0.4468852240101489,0.0,0.49718741493281954,0.43892196385110177,0.45484848416919604,0.0,1.0
precision1,Precision@1,bge_m3_hybrid_424,14977,0.43513387193697,0.0,0.49579108286556495,0.42719297629316605,0.44307476758077396,0.0,1.0
precision1,Precision@1,bge_m3_hybrid_513,14977,0.4980303131468251,0.0,0.5000128132865296,0.49002179966585596,0.5060388266277943,0.0,1.0
precision1,Precision@1,bge_m3_hybrid_513_tk1000,14977,0.4980303131468251,0.0,0.5000128132865296,0.49002179966585596,0.5060388266277943,0.0,1.0
precision1,Precision@1,bge_m3_hybrid_513_tk500,14977,0.4980303131468251,0.0,0.5000128132865296,0.49002179966585596,0.5060388266277943,0.0,1.0
precision1,Precision@1,bge_m3_hybrid_514,14977,0.4434800026707618,0.0,0.49681180538443087,0.43552275850580907,0.45143724683571457,0.0,1.0
precision1,Precision@1,reranked_results,14977,0.5977164986312345,1.0,0.49037489911655646,0.5898623519254913,0.6055706453369778,0.0,1.0
precision1,Precision@1,nemotron_topk400,14977,0.6361754690525473,1.0,0.4811150556495382,0.6284696337085666,0.643881304396528,0.0,1.0
precision1,Precision@1,rer_bge_m3_hybrid_513_nemotron,14977,0.6302997930159578,1.0,0.4827396023044966,0.6225679379312006,0.6380316481007151,0.0,1.0
precision1,Precision@1,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.6474594378046338,1.0,0.477777098275178,0.6398070652438481,0.6551118103654194,0.0,1.0
precision1,Precision@1,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.6470588235294118,1.0,0.4779005667861673,0.6394044734208344,0.6547131736379892,0.0,1.0
precision5,Precision@5,bge_m3_hybrid_315,14977,0.12978567136275623,0.2,0.09546424606091992,0.12825665714309198,0.1313146855824205,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_414,14977,0.1256459905187955,0.2,0.09665871397496995,0.12409784496461726,0.12719413607297372,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_424,14977,0.1239099953261668,0.2,0.09710273778294078,0.12235473801293457,0.12546525263939903,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_513,14977,0.13005274754623758,0.2,0.09538050006315184,0.1285250746541039,0.13158042043837126,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_513_tk1000,14977,0.13005274754623758,0.2,0.09538050006315184,0.1285250746541039,0.13158042043837126,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_513_tk500,14977,0.13005274754623758,0.2,0.09538050006315184,0.1285250746541039,0.13158042043837126,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_514,14977,0.1250717767243106,0.2,0.09680925458604514,0.12352122001889547,0.12662233342972576,0.0,0.2
precision5,Precision@5,reranked_results,14977,0.1463443947385992,0.2,0.088615582123168,0.14492507294283824,0.14776371653436016,0.0,0.2
precision5,Precision@5,nemotron_topk400,14977,0.15603926019897177,0.2,0.08282547528369368,0.15471267632401609,0.15736584407392745,0.0,0.2
precision5,Precision@5,rer_bge_m3_hybrid_513_nemotron,14977,0.15310142218067704,0.2,0.08473911972699824,0.15174418819653465,0.15445865616481944,0.0,0.2
precision5,Precision@5,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.15696067303198238,0.2,0.08219448165741794,0.15564419553995962,0.15827715052400515,0.0,0.2
precision5,Precision@5,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.1567069506576751,0.2,0.08236974420286357,0.15538766605267318,0.158026235262677,0.0,0.2
precision10,Precision@10,bge_m3_hybrid_315,14977,0.06968017627028111,0.1,0.045965549422688406,0.06894396369246301,0.07041638884809921,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_414,14977,0.0680843960739801,0.1,0.046616517613759255,0.0673377571882848,0.06883103495967541,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_424,14977,0.0675435668024304,0.1,0.04682274710307095,0.06679362481809155,0.06829350878676925,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_513,14977,0.0698003605528477,0.1,0.045913902871569386,0.06906497517803299,0.07053574592766242,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_513_tk1000,14977,0.06980703745743473,0.1,0.04591102268980596,0.06907169821338681,0.07054237670148265,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_513_tk500,14977,0.06980703745743473,0.1,0.04591102268980596,0.06907169821338681,0.07054237670148265,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_514,14977,0.06793750417306536,0.1,0.046673240654106246,0.06718995677618549,0.06868505156994524,0.0,0.1
precision10,Precision@10,reranked_results,14977,0.07675769513253657,0.1,0.04223913915843162,0.07608116703888353,0.0774342232261896,0.0,0.1
precision10,Precision@10,nemotron_topk400,14977,0.08188555785537825,0.1,0.03851506518413406,0.08126867682642992,0.08250243888432658,0.0,0.1
precision10,Precision@10,rer_bge_m3_hybrid_513_nemotron,14977,0.0794818722040462,0.1,0.04038475091984431,0.07883504513567302,0.08012869927241939,0.0,0.1
precision10,Precision@10,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.08247312545903719,0.1,0.03802095006392097,0.08186415848248157,0.08308209243559281,0.0,0.1
precision10,Precision@10,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.08219269546638179,0.1,0.03825869953797185,0.08157992054767461,0.08280547038508897,0.0,0.1
f1_1,F1@1,bge_m3_hybrid_315,14977,0.4990986178807505,0.0,0.5000158805798979,0.49109005527211974,0.5071071804893813,0.0,1.0
f1_1,F1@1,bge_m3_hybrid_414,14977,0.4468852240101489,0.0,0.49718741493281954,0.43892196385110177,0.45484848416919604,0.0,1.0
f1_1,F1@1,bge_m3_hybrid_424,14977,0.43513387193697,0.0,0.49579108286556495,0.42719297629316605,0.44307476758077396,0.0,1.0
f1_1,F1@1,bge_m3_hybrid_513,14977,0.4980303131468251,0.0,0.5000128132865296,0.49002179966585596,0.5060388266277943,0.0,1.0
