threshold,max_terms,w1,w2,w3,recall100
0.71,6,4.51,11.47,14.29,0.7759
0.63,3,8.66,14.63,6.53,0.7958
0.63,8,9.13,6.35,13.4,0.7552
0.78,8,6.64,17.47,1.94,0.7964
0.81,2,6.48,6.22,12.88,0.7911
0.82,3,17.59,5.27,6.65,0.7933
0.93,2,1.93,8.84,10.23,0.794
0.78,10,16.53,10.77,19.65,0.7873
0.93,4,3.5,0.65,17.79,0.7807
0.84,11,18.81,11.41,11.15,0.7974
0.93,15,16.62,15.5,12.09,0.7989
0.89,4,8.68,14.86,6.23,0.7986
0.89,10,11.97,14.59,3.38,0.7996
0.79,6,19.61,15.21,10.57,0.7972
0.87,7,6.44,15.06,8.63,0.7967
0.85,8,3.77,0.14,3.66,0.7578
0.72,2,18.19,3.41,12.6,0.7794
0.93,2,5.74,9.78,16.64,0.7983
0.93,2,18.94,4.83,6.84,0.7917
0.8,3,12.21,12.72,2.56,0.7998
0.72,7,12.17,1.59,11.23,0.7489
0.94,4,1.47,19.27,11.79,0.7906
0.93,10,18.79,18.36,16.93,0.7987
0.6,8,12.78,1.85,14.53,0.7198
0.92,5,17.94,17.56,6.54,0.799
0.75,11,8.7,8.45,11.97,0.7833
0.74,3,15.97,1.28,15.16,0.7554
0.88,1,13.69,18.5,19.9,0.799
0.8,15,2.27,11.88,19.02,0.778
0.64,4,16.13,14.69,0.51,0.7998
0.92,13,4.11,5.65,10.71,0.7977
0.75,14,14.63,17.8,15.91,0.7887
0.94,13,0.27,19.79,8.91,0.7893
0.63,14,11.39,19.69,15.32,0.7814
0.69,4,3.66,6.03,16.61,0.744
0.61,3,6.69,18.39,2.22,0.7964
0.72,14,4.86,8.98,8.46,0.7835
0.6,15,11.22,3.49,16.76,0.7102
0.76,9,6.51,10.27,2.28,0.7989
0.76,12,11.86,7.07,11.28,0.7867
0.83,1,10.14,9.84,7.89,0.7989
0.89,5,17.74,12.85,2.2,0.7991
0.92,5,6.46,6.27,8.23,0.7985
0.67,8,8.93,18.05,17.19,0.779
0.65,8,2.14,8.34,8.68,0.7697
0.62,3,19.64,17.72,12.5,0.7945
0.94,14,17.07,5.65,12.36,0.7936
0.64,9,8.63,3.22,6.38,0.7717
0.8,6,18.37,15.08,7.96,0.799
0.8,5,6.81,15.26,9.36,0.7959
0.72,4,5.59,1.28,3.17,0.782
0.62,14,8.24,4.07,14.44,0.7217
0.78,10,11.12,5.0,18.17,0.7662
0.93,12,5.53,5.87,16.46,0.7974
0.68,12,13.01,8.27,14.87,0.7678
0.68,14,6.89,19.27,3.78,0.796
0.61,15,11.7,11.66,2.0,0.7988
0.75,1,19.09,6.88,19.51,0.7901
0.89,13,7.51,7.21,18.61,0.794
0.78,8,11.26,13.76,15.75,0.7912
0.68,10,6.69,4.61,1.11,0.7984
0.81,3,16.95,12.57,3.03,0.799
0.79,1,4.44,2.37,17.83,0.7548
0.8,15,8.74,17.09,3.24,0.799
0.87,12,8.17,1.73,1.84,0.7891
0.65,10,12.78,18.82,11.11,0.7891
0.75,2,15.18,5.08,14.76,0.7828
0.72,15,11.22,10.94,9.42,0.7895
0.83,3,6.01,0.14,5.4,0.7557
0.81,5,8.13,16.54,6.46,0.7973
0.95,10,8.13,17.27,5.5,0.7972
0.69,13,1.52,9.81,12.41,0.7606
0.87,2,11.86,8.8,2.17,0.799
0.62,5,5.94,19.26,6.09,0.7934
